t,sensor_id,sx,sy,temp_c,co_ppm,co2_ppm,h2_ppm,gas_total_ppm,battery,active,efficiency,range_tiles,threat_active,threat_area,threat_points_count
1.0,1,101,94,40.61,0.0,0.0,0.0,0.0,4956.8,1,80,6,0,0.0,0
1.0,1,101,94,40.61,0.0,0.0,0.0,0.0,4956.8,1,80,6,0,0.0,0
2.0,1,101,94,39.5,0.0,0.0,0.0,0.0,4913.6,1,80,6,0,0.0,0
2.0,1,101,94,39.5,0.0,0.0,0.0,0.0,4913.6,1,80,6,0,0.0,0
3.0,1,101,94,41.68,0.0,0.0,0.0,0.0,4870.400000000001,1,80,6,0,0.0,0
3.0,1,101,94,41.68,0.0,0.0,0.0,0.0,4870.400000000001,1,80,6,0,0.0,0
4.0,1,101,94,39.1,0.0,0.0,0.0,0.0,4827.200000000001,1,80,6,0,0.0,0
4.0,1,101,94,39.1,0.0,0.0,0.0,0.0,4827.200000000001,1,80,6,0,0.0,0
5.0,1,101,94,43.0,0.0,0.0,0.0,0.0,4784.000000000001,1,80,6,0,0.0,0
5.0,1,101,94,43.0,0.0,0.0,0.0,0.0,4784.000000000001,1,80,6,0,0.0,0
6.0,1,101,94,43.12,0.0,0.0,0.0,0.0,4740.800000000001,1,80,6,0,0.0,0
6.0,1,101,94,43.12,0.0,0.0,0.0,0.0,4740.800000000001,1,80,6,0,0.0,0
7.0,1,101,94,40.17,0.0,0.0,0.0,0.0,4697.600000000001,1,80,6,0,0.0,0
7.0,1,101,94,40.17,0.0,0.0,0.0,0.0,4697.600000000001,1,80,6,0,0.0,0
8.0,1,101,94,39.28,0.0,0.0,0.0,0.0,4654.4000000000015,1,80,6,0,0.0,0
8.0,1,101,94,39.28,0.0,0.0,0.0,0.0,4654.4000000000015,1,80,6,0,0.0,0
9.0,1,101,94,41.68,0.0,0.0,0.0,0.0,4611.200000000002,1,80,6,0,0.0,0
9.0,1,101,94,41.68,0.0,0.0,0.0,0.0,4611.200000000002,1,80,6,0,0.0,0
