t,sensor_id,sx,sy,temp_c,co_ppm,co2_ppm,h2_ppm,gas_total_ppm,battery,active,efficiency,range_tiles,threat_active,threat_area,threat_points_count
1.0,1,93,95,69.67,0.0,0.0,0.0,0.0,4956.8,1,80,6,1,41.447127,13
1.0,1,93,95,69.67,0.0,0.0,0.0,0.0,4956.8,1,80,6,1,41.447127,13
2.0,1,93,95,65.3,0.0,0.0,0.0,0.0,4913.6,1,80,6,1,41.447127,13
2.0,1,93,95,65.3,0.0,0.0,0.0,0.0,4913.6,1,80,6,1,41.447127,13
3.0,1,93,95,69.49,0.0,0.0,0.0,0.0,4870.400000000001,1,80,6,1,41.447127,13
3.0,1,93,95,69.49,0.0,0.0,0.0,0.0,4870.400000000001,1,80,6,1,41.447127,13
4.0,1,93,95,58.05,0.0,0.0,0.0,0.0,4827.200000000001,1,80,6,0,0.0,0
4.0,1,93,95,58.05,0.0,0.0,0.0,0.0,4827.200000000001,1,80,6,0,0.0,0
5.0,1,93,95,60.66,0.0,0.0,0.0,0.0,4784.000000000001,1,80,6,1,40.917997,11
5.0,1,93,95,60.66,0.0,0.0,0.0,0.0,4784.000000000001,1,80,6,1,40.917997,11
6.0,1,93,95,50.94,0.0,0.0,0.0,0.0,4740.800000000001,1,80,6,0,0.0,0
6.0,1,93,95,50.94,0.0,0.0,0.0,0.0,4740.800000000001,1,80,6,0,0.0,0
7.0,1,93,95,50.64,0.0,0.0,0.0,0.0,4697.600000000001,1,80,6,0,0.0,0
7.0,1,93,95,50.64,0.0,0.0,0.0,0.0,4697.600000000001,1,80,6,0,0.0,0
8.0,1,93,95,48.7,0.0,0.0,0.0,0.0,4654.4000000000015,1,80,6,0,0.0,0
8.0,1,93,95,48.7,0.0,0.0,0.0,0.0,4654.4000000000015,1,80,6,0,0.0,0
9.0,1,93,95,48.25,0.0,0.0,0.0,0.0,4611.200000000002,1,80,6,0,0.0,0
9.0,1,93,95,48.25,0.0,0.0,0.0,0.0,4611.200000000002,1,80,6,0,0.0,0
10.0,1,93,95,52.51,0.0,0.0,0.0,0.0,4568.000000000002,1,80,6,0,0.0,0
10.0,1,93,95,52.51,0.0,0.0,0.0,0.0,4568.000000000002,1,80,6,0,0.0,0
11.0,1,93,95,57.77,0.0,0.0,0.0,0.0,4524.800000000002,1,80,6,0,0.0,0
11.0,1,93,95,57.77,0.0,0.0,0.0,0.0,4524.800000000002,1,80,6,0,0.0,0
12.0,1,93,95,57.93,0.0,0.0,0.0,0.0,4481.600000000002,1,80,6,0,0.0,0
12.0,1,93,95,57.93,0.0,0.0,0.0,0.0,4481.600000000002,1,80,6,0,0.0,0
13.0,1,93,95,60.19,0.0,0.0,0.0,0.0,4438.400000000002,1,80,6,1,40.917997,11
13.0,1,93,95,60.19,0.0,0.0,0.0,0.0,4438.400000000002,1,80,6,1,40.917997,11
14.0,1,93,95,58.68,0.0,0.0,0.0,0.0,4395.200000000003,1,80,6,0,0.0,0
14.0,1,93,95,58.68,0.0,0.0,0.0,0.0,4395.200000000003,1,80,6,0,0.0,0
15.0,1,93,95,56.48,0.0,0.0,0.0,0.0,4352.000000000003,1,80,6,0,0.0,0
15.0,1,93,95,56.48,0.0,0.0,0.0,0.0,4352.000000000003,1,80,6,0,0.0,0
16.0,1,93,95,69.29,0.0,0.0,0.0,0.0,4308.800000000003,1,80,6,1,41.447127,13
16.0,1,93,95,69.29,0.0,0.0,0.0,0.0,4308.800000000003,1,80,6,1,41.447127,13
17.0,1,93,95,65.63,0.0,0.0,0.0,0.0,4265.600000000003,1,80,6,1,41.447127,13
17.0,1,93,95,65.63,0.0,0.0,0.0,0.0,4265.600000000003,1,80,6,1,41.447127,13
18.0,1,93,95,65.32,0.0,0.0,0.0,0.0,4222.400000000003,1,80,6,1,41.447127,13
18.0,1,93,95,65.32,0.0,0.0,0.0,0.0,4222.400000000003,1,80,6,1,41.447127,13
19.0,1,93,95,64.97,0.0,0.0,0.0,0.0,4179.2000000000035,1,80,6,1,41.447127,13
19.0,1,93,95,64.97,0.0,0.0,0.0,0.0,4179.2000000000035,1,80,6,1,41.447127,13
20.0,1,93,95,69.24,0.0,0.0,0.0,0.0,4136.000000000004,1,80,6,1,41.447127,13
20.0,1,93,95,69.24,0.0,0.0,0.0,0.0,4136.000000000004,1,80,6,1,41.447127,13
21.0,1,93,95,66.95,0.0,0.0,0.0,0.0,4092.800000000004,1,80,6,1,41.447127,13
21.0,1,93,95,66.95,0.0,0.0,0.0,0.0,4092.800000000004,1,80,6,1,41.447127,13
22.0,1,93,95,64.07,0.0,0.0,0.0,0.0,4049.600000000004,1,80,6,1,41.447127,13
22.0,1,93,95,64.07,0.0,0.0,0.0,0.0,4049.600000000004,1,80,6,1,41.447127,13
23.0,1,93,95,65.94,0.0,0.0,0.0,0.0,4006.400000000004,1,80,6,1,41.447127,13
23.0,1,93,95,65.94,0.0,0.0,0.0,0.0,4006.400000000004,1,80,6,1,41.447127,13
24.0,1,93,95,67.3,0.0,0.0,0.0,0.0,3963.2000000000044,1,80,6,1,41.447127,13
